job_id,title,name,category
8662,Data Engineer,Data Processing,Skills
9123,Backend Engineer,SciPy,Technologies
9564,Backend Engineer,Data,Function Types
8853,Frontend Developer,Backend,Specialties
8999,Frontend Engineer ,Software Systems,Specialties
9133,Frontend Engineer (Senior),Backend,Specialties
9677,Frontend Engineer,UX/UI,Specialties
7673,Backend Engineer (NO NEW SUBMITS),Virtualization,Skills
9428,Frontend Engineer (Sr/Lead),Ruby on Rails,Technologies
8980,Data Scientist,Data,Function Types
8846,Fullstack Engineer,Big Data,Skills
7909,Frontend Engineer,Engineering,Function Types
8515,Product Team Build-Out,Non-Technical,Languages
9621,Backend Engineer (Senior) ,Python,Languages
8510,Android Engineer,Android,Skills
9447,Mobile Engineer (iOS),Ruby on Rails,Technologies
9396,Backend Engineer (Senior),saas (software-as-a-service),Domains
7641,DevOps,Python,Languages
9123,Backend Engineer,Microservices Architecture (MSA),Skills
9396,Backend Engineer (Senior),Enterprise App,Domains
9400,Fullstack Engineer,Javascript,Languages
8837,Mobile Engineer (iOS/Android),Objective-C,Languages
8599,Backend Engineer,Android,Skills
7581,Android,Java,Languages
8579,Fullstack Engineer (FE focus),Senior,Experiences
9645,Backend Engineer (Platform),Artificial Intelligence,Skills
9681,Fullstack Engineer,PostgreSQL,Technologies
7833,iOS Engineer,Engineering,Function Types
9106,Mobile Engineer (iOS),Data,Function Types
9404,Fullstack Engineer (Backend Heavy),Amazon DynamoDB,Technologies
7797,UX Designer,Mid-Level,Experiences
9262,Frontend Engineer,Mid-Level,Experiences
9587,Fullstack Engineer ,Facebook React,Technologies
8802,Fullstack Engineer ,Continuous Deployment,Skills
8785,Backend Engineer (Platform),Elasticsearch,Technologies
9494,Backend Engineer ,Software Systems,Specialties
8817,Data Scientist,Manager,Experiences
7665,Mobile Engineer (iOS),Consumer Infrastructure,Domains
9444,Backend Engineer,Senior,Experiences
8765,Principle Engineer,Distributed Systems,Skills
9469,Fullstack Engineer (Search) ,Performance,Skills
8912,Frontend Engineer,Engineering,Function Types
9459,Frontend Engineer ,Facebook React,Technologies
9556,Backend Engineer,Engineering,Function Types
9006,Frontend Engineer (Senior),Responsive Web Design (RWD),Skills
8782,On Hold- Frontend Engineer,Mobile,Specialties
9339,Frontend Engineer (Senior),Data Science,Specialties
8675,Data Scientist,Data,Function Types
9668,Frontend Engineer,HTML5/CSS3,Languages
8892,Backend Engineer (Lead/Manager),Django,Technologies
7709,Full-Stack Engineer,Senior,Experiences
8780,Frontend Engineer,Manager,Experiences
8390,Backend Engineer ,Quality Assurance,Function Types
7750,Data Infrastructure,Enterprise Infrastructure,Domains
8572,FullStack Engineer,Backend,Specialties
8663,Data Engineer,Apache Hive,Technologies
8327,Data Engineer,Enterprise App,Domains
8511,iOS engineer,Cocoa,Technologies
9617,Data Engineer (Senior) ,Backend,Specialties
8739,Backend Engineer (Fullstack),Python,Languages
9123,Backend Engineer,Scala,Languages
9563,Frontend Engineer ,AngularJS,Technologies
9428,Frontend Engineer (Sr/Lead),Change Management,Skills
8999,Frontend Engineer ,AngularJS,Technologies
7747,DevOps Engineer,MySQL,Technologies
8785,Backend Engineer (Platform),Enterprise App,Domains
9101,Backend Engineer (Mid),Ruby on Rails,Technologies
7604,Engineering Manager,Lead,Experiences
7679,Backend (Java)_,Engineering,Function Types
8762, Fullstack Engineer,Javascript,Languages
9279,Fullstack Engineer,Deep Learning,Skills
7585,Data Infrastructure Engineer,Backend,Specialties
8962,Fullstack Engineer ,Data Pipelines,Skills
9576,Frontend Engineer ,Reliability,Skills
9105,Fullstack Engineer ,Continuous Integration,Skills
9517,Backend Engineer (Senior),Data,Function Types
9221,Data Engineer ,Scala,Languages
7711,Front-End Engineer,Model-View-Controller (MVC),Skills
7718,DevOps Engineer,Administration,Function Types
7829,Front-End Engineer,Consumer App,Domains
8848,"Backend Engineer (Ruby, Senior)",Frontend,Specialties
9298,Backend Engineer (Generalist),Shell,Languages
9574,Backend Engineer,DevOps,Specialties
8761,Frontend Engineer,Consumer App,Domains
8892,Backend Engineer (Lead/Manager),Operations,Function Types
8052,Data Engineer,Apache Hadoop,Technologies
7796,Product Leader-Android,Product Management,Function Types
9000,Backend Engineer,Backend,Specialties
8053,Data,Data Analyst,Specialties
8803,Fullstack Engineer,Sass,Technologies
7836,QA Engineer ,White Box,Specialties
9625,Frontend Engineer (Senior) ,Performance,Skills
9680,Fullstack Engineer,Senior,Experiences
8147,Fullstack Engineer,Consumer App,Domains
9260,Data Engineer,Data,Function Types
9358,Data Scientist,Java,Languages
9350,Backend Engineer (Platform),Software Systems,Specialties
9355,Eng Manager/Lead Architect,Consumer App,Domains
9157,Fullstack Engineer (Frontend Heavy),DevOps,Specialties
9402,Frontend Engineer,Enterprise Infrastructure,Domains
7599,Data Scientist,Senior,Experiences
7684,Frontend Engineer,Extract Transform Load (ETL),Skills
8937,Frontend Engineer,Data Processing,Skills
9419,Fullstack Engineer,Analytics/Data,Industry
8419,Software Engineer (Database),C/C++,Languages
8935,Engineering Manager,HTML5/CSS3,Languages
9469,Fullstack Engineer (Search) ,Less,Technologies
8846,Fullstack Engineer,React,Technologies
9521,Frontend Engineer ,Business Intelligence,Skills
8969,Backend Engineer,Apache ActiveMQ,Technologies
9262,Frontend Engineer,Javascript,Languages
9389,Backend Engineer,Social,Industry
9342,Backend Engineer,Go,Languages
7761,DevOps,Data Engineering,Specialties
8403,Frontend Engineer,Mobile,Specialties
9567,Backend Engineer,Modern JS Framework,Skills
7912,On Hold- Backend Engineer,Senior,Experiences
9450,Data Engineer,Consumer App,Domains
9420,Fullstack Engineer (iOS),Data Science,Specialties
8802,Fullstack Engineer ,HTML5/CSS3,Languages
7797,UX Designer,Javascript,Languages
9377,Backend Engineer (Lead),Ruby,Languages
8390,Backend Engineer ,Social,Industry
7584,iOS Engineer,Junior,Experiences
8849,Backend Engineer (Python),Engineering,Function Types
7697,Backend Engineer (Temp Hold),Multitier Architecture (N-Tier),Skills
9397,Frontend Engineer,Nginx,Technologies
7670,Sr. Full-Stack or Backend Engineer,Frontend,Specialties
9626,Fullstack Engineer (Senior),Stripe Shop,Technologies
8900,Fullstack Engineer ,iOS,Skills
9279,Fullstack Engineer,Natural Language Processing (NLP),Skills
7857,Senior DevOps Engineer,Java,Languages
8147,Fullstack Engineer,Responsive Web Design (RWD),Skills
7684,Frontend Engineer,Clojure,Languages
