person_id,job_id,similarity_score
209767,7722,1
134546,7750,1
225663,8908,1
318417,9279,1
83336,9128,1
258739,8935,1
214059,9398,1
96083,7597,1
325728,8935,1
325380,9195,1
242777,8404,1
142461,8390,1
124030,7610,1
143240,7603,1
53858,9419,1
325510,9022,1
80666,8549,1
258833,8935,1
235947,8419,1
242700,8731,1
266778,8739,1
124751,8050,1
117037,9155,1
85852,9517,1
194009,8403,1
147922,9157,1
282333,9621,1
213740,8143,1
288885,8403,1
230205,8029,1
242805,7814,1
200662,8889,1
98518,8572,1
154365,7612,1
122925,8161,1
104009,8911,1
80666,9107,1
96304,7734,1
145416,7612,1
160479,9518,1
321704,9350,1
101863,8418,1
208696,7589,1
147650,7597,1
109435,7702,1
221326,7711,1
210592,8390,1
324493,9459,1
256079,9436,1
310724,9101,1
235947,7825,1
140473,8739,1
239161,7825,1
77835,7621,1
104009,8938,1
162461,8054,1
197485,9195,1
78480,9355,1
214083,7774,1
78050,7780,1
85036,7729,1
321679,9279,1
85036,7706,1
248976,7711,1
232663,7638,1
190163,9160,1
93232,7610,1
248976,7828,1
98116,7588,1
296495,8935,1
87669,9123,1
325328,9567,1
153991,8404,1
113887,7740,1
225168,8968,1
211211,8984,1
108421,8908,1
318679,9149,1
299622,8404,1
147922,9195,1
92969,8727,1
114300,9494,1
78382,8912,1
220592,7589,1
64099,8403,1
157816,8795,1
261712,8390,1
305540,9279,1
306433,9111,1
214083,7667,1
203583,9569,1
234490,9298,1
168231,7603,1
86751,7696,1
63077,7697,1
213718,8390,1
206249,7673,1
160929,7603,1
211799,7673,1
206962,8571,1
245505,7750,1
196137,9298,1
210816,7636,1
156046,8390,1
110117,7912,1
305540,9195,1
186925,7610,1
209767,7598,1
251554,8166,1
155774,9398,1
60341,9567,1
253649,8693,1
320425,9298,1
170305,8579,1
113182,8610,1
170532,8803,1
235564,8833,1
207845,7608,1
175249,9349,1
201868,8937,1
183160,8515,1
67356,8404,1
62290,7684,1
245505,8059,1
115803,8926,1
249170,8397,1
179574,8610,1
69201,8610,1
177383,8894,1
322451,9358,1
79570,8999,1
6947,7913,1
222686,8059,1
69179,7733,1
130505,8411,1
98749,9459,1
211189,7706,1
224116,8418,1
254727,8786,1
189507,9231,1
175249,8147,1
16654,8925,1
93881,8891,1
185968,7752,1
186098,9195,1
209114,7601,1
325222,9494,1
119032,7622,1
97259,8740,1
209680,7576,1
112098,8419,1
77159,9110,1
194009,8611,1
200662,8876,1
136371,7665,1
201836,8831,1
76843,9195,1
244086,7685,1
148066,7603,1
87669,9240,1
219960,7692,1
177382,9189,1
182797,8419,1
322735,9350,1
113974,8059,1
158645,8404,1
221552,9436,1
319676,8419,1
252438,9087,1
213304,7673,1
147908,8404,1
207714,8418,1
136371,7706,1
89276,9563,1
188612,7754,1
141325,8947,1
62290,7604,1
258894,8166,1
181327,7912,1
132028,9279,1
238150,8935,1
318080,9357,1
180570,8390,1
124751,8195,1
325132,9356,1
144043,8390,1
248518,7636,1
296495,8892,1
109435,7706,1
324347,9283,1
229331,7646,1
140350,8762,1
158623,9215,1
201517,7829,1
318473,9149,1
131559,7812,1
305174,9100,1
35236,7750,1
152481,8404,1
32291,7734,1
280663,9215,1
175249,9338,1
116610,8587,1
213677,7764,1
148892,9128,1
194360,8419,1
164321,8404,1
324564,9398,1
114300,9621,1
104009,9160,1
194009,8571,1
290221,8786,1
87669,9258,1
174749,7912,1
62965,8390,1
137552,7592,1
120855,7779,1
104168,7750,1
235247,8059,1
169138,8611,1
127746,7779,1
324915,9283,1
323935,9450,1
324450,9459,1
225168,8891,1
77159,9230,1
57128,9184,1
174749,8404,1
324493,8726,1
135505,7912,1
201034,7603,1
98663,7779,1
179574,7697,1
169681,7736,1
324937,9567,1
262952,8609,1
324696,9195,1
