person_id,job_id,similarity_scores
209767,7722,5
134546,7750,6
225663,8908,4
318417,9279,5
83336,9128,5
258739,8935,5
214059,9398,6
96083,7597,4
325728,8935,4
325380,9195,5
242777,8404,4
142461,8390,5
124030,7610,4
143240,7603,7
53858,9419,4
325510,9022,4
80666,8549,5
82674,7638,5
258833,8935,4
235947,8419,6
242700,8731,4
266778,8739,6
124751,8050,4
315130,9186,5
117037,9155,4
85852,9517,6
194009,8403,5
147922,9157,5
282333,9621,4
213740,8143,12
288885,8403,6
230205,8029,4
242805,7814,4
200662,8889,5
98518,8572,4
154365,7612,6
122925,8161,4
104009,8911,5
80666,9107,7
96304,7734,4
145416,7612,4
160479,9518,4
321704,9350,4
101863,8418,4
208696,7589,5
147650,7597,6
109435,7702,5
221326,7711,5
210592,8390,5
324493,9459,4
256079,9436,4
310724,9101,5
235947,7825,6
140473,8739,6
239161,7825,4
77835,7621,6
104009,8938,5
162461,8054,4
197485,9195,5
78480,9355,5
214083,7774,4
78050,7780,6
85036,7729,4
321679,9279,5
85036,7706,6
248976,7711,5
232663,7638,6
190163,9160,5
93232,7610,4
248976,7828,4
98116,7588,5
296495,8935,4
87669,9123,4
325328,9567,4
153991,8404,4
113887,7740,6
225168,8968,5
211211,8984,4
108421,8908,5
318679,9149,4
299622,8404,6
147922,9195,5
92969,8727,4
114300,9494,4
78382,8912,5
220592,7589,6
64099,8403,4
157816,8795,6
261712,8390,4
321575,9459,4
128014,9128,5
305540,9279,4
306433,9111,5
214083,7667,12
203583,9569,5
234490,9298,5
168231,7603,5
86751,7696,5
63077,7697,5
213718,8390,4
206249,7673,5
160929,7603,6
211799,7673,4
206962,8571,4
245505,7750,4
196137,9298,6
210816,7636,11
156046,8390,4
110117,7912,6
305540,9195,5
261080,8938,4
186925,7610,6
209767,7598,4
251554,8166,5
155774,9398,5
60341,9567,6
253649,8693,12
320425,9298,4
170305,8579,5
113182,8610,4
170532,8803,4
235564,8833,4
207845,7608,6
175249,9349,4
201868,8937,11
183160,8515,12
83435,8757,4
67356,8404,6
62290,7684,4
245505,8059,5
115803,8926,7
249170,8397,5
179574,8610,5
69201,8610,4
177383,8894,4
322451,9358,4
79570,8999,5
6947,7913,4
222686,8059,5
69179,7733,4
130505,8411,4
98749,9459,5
211189,7706,5
224116,8418,12
254727,8786,12
189507,9231,4
175249,8147,4
16654,8925,12
93881,8891,4
185968,7752,11
186098,9195,4
209114,7601,6
325222,9494,5
119032,7622,7
97259,8740,4
209680,7576,4
112098,8419,4
77159,9110,5
194009,8611,4
200662,8876,6
177591,9152,4
136371,7665,4
201836,8831,7
76843,9195,5
244086,7685,4
148066,7603,7
87669,9240,12
219960,7692,5
177382,9189,6
182797,8419,4
322735,9350,4
113974,8059,5
297716,8404,6
158645,8404,5
221552,9436,4
319676,8419,4
252438,9087,4
213304,7673,4
147908,8404,4
207714,8418,4
136371,7706,4
260173,8910,5
89276,9563,5
188612,7754,5
141325,8947,4
62290,7604,6
